round,feedback_count,model,precision,recall,f1,mrr,ndcg
0,0,static,0.7,0.5385,0.6087,0.7667,0.8251
1,5,static (warming up),0.7,0.5385,0.6087,0.7667,0.8251
2,10,static (warming up),0.7,0.5385,0.6087,0.7667,0.8251
3,15,adaptive,0.1,0.3846,0.1587,0.1498,0.4001
4,20,adaptive,0.25,0.4615,0.3243,0.5082,0.6395
5,25,adaptive,0.8333,0.3846,0.5263,0.7667,0.8251
6,30,adaptive,0.8333,0.3846,0.5263,0.7667,0.8251
7,35,adaptive,0.8333,0.3846,0.5263,0.7667,0.8251
8,40,adaptive,1.0,0.3846,0.5556,0.7667,0.8251
9,45,adaptive,0.2927,0.9231,0.4444,0.7667,0.8251
10,50,adaptive,0.7143,0.7692,0.7407,0.7667,0.8251
11,55,adaptive,1.0,0.5385,0.7,0.7667,0.8251
12,60,adaptive,0.7143,0.7692,0.7407,0.7667,0.8251
